wave_length         LAB                 PPO                 bis                 
193                 0.00059774          0.996943            0.00245927          
193.5               0.000602349         0.996881            0.00251672          
194                 0.000608636         0.996833            0.00255804          
194.5               0.000615415         0.996758            0.00262646          
195                 0.000619774         0.996709            0.00267157          
195.5               0.000623819         0.99666             0.00271643          
196                 0.000630036         0.996574            0.00279597          
196.5               0.000640066         0.996515            0.00284486          
197                 0.000644401         0.996461            0.00289506          
197.5               0.000646664         0.996402            0.00295085          
198                 0.000656154         0.996334            0.00301005          
198.5               0.000660444         0.996282            0.00305706          
199                 0.000670077         0.996217            0.00311266          
199.5               0.000695368         0.996139            0.00316584          
200                 0.00068917          0.996083            0.00322762          
200.5               0.000706738         0.996014            0.00327937          
201                 0.000721936         0.995954            0.00332426          
201.5               0.000746103         0.99586             0.0033943           
202                 0.000740366         0.99581             0.00344995          
202.5               0.000754314         0.995749            0.00349625          
203                 0.000778239         0.995694            0.0035273           
203.5               0.000797178         0.995609            0.00359385          
204                 0.000814902         0.995558            0.00362718          
204.5               0.000838231         0.995505            0.00365638          
205                 0.000866253         0.995442            0.00369182          
205.5               0.000875877         0.99541             0.00371422          
206                 0.000901234         0.995371            0.00372789          
206.5               0.000902924         0.99535             0.00374706          
207                 0.000934594         0.995287            0.00377801          
207.5               0.000963574         0.995277            0.00375981          
208                 0.000986017         0.995269            0.00374545          
208.5               0.000999897         0.995272            0.00372833          
209                 0.00101284          0.995307            0.00368056          
209.5               0.00104098          0.995337            0.00362173          
210                 0.0010646           0.995335            0.00360054          
210.5               0.00108623          0.995319            0.00359445          
211                 0.00109324          0.995445            0.00346131          
211.5               0.00111109          0.995544            0.00334464          
212                 0.00110536          0.99563             0.00326489          
212.5               0.00111252          0.995746            0.00314157          
213                 0.0011004           0.995879            0.00302073          
213.5               0.0011128           0.995972            0.0029152           
214                 0.00109792          0.996114            0.00278759          
214.5               0.00111656          0.996197            0.00268617          
215                 0.00109153          0.996416            0.0024927           
215.5               0.00108504          0.996551            0.00236446          
216                 0.00107018          0.996694            0.00223585          
216.5               0.00107109          0.996798            0.00213114          
217                 0.00106727          0.996939            0.00199383          
217.5               0.00105012          0.997032            0.00191783          
218                 0.00105276          0.997127            0.00181981          
218.5               0.00104296          0.997236            0.00172063          
219                 0.00105115          0.997317            0.00163139          
219.5               0.00104005          0.9974              0.00156004          
220                 0.00102869          0.997471            0.00149983          
220.5               0.00104542          0.997508            0.00144636          
221                 0.00104181          0.997546            0.00141178          
221.5               0.00105175          0.997593            0.00135494          
222                 0.00105059          0.997601            0.0013489           
222.5               0.0010683           0.997577            0.00135472          
223                 0.00107949          0.997568            0.00135242          
223.5               0.00108956          0.99755             0.00136             
224                 0.00110321          0.997505            0.00139189          
224.5               0.00111125          0.997461            0.00142758          
225                 0.00113046          0.997399            0.00147046          
225.5               0.00115499          0.997333            0.00151243          
226                 0.00117017          0.99726             0.00156953          
226.5               0.00119825          0.997143            0.00165914          
227                 0.00122395          0.997029            0.00174738          
227.5               0.00125343          0.996904            0.00184235          
228                 0.00128899          0.996751            0.00195993          
228.5               0.00133939          0.996575            0.0020854           
229                 0.00138274          0.996415            0.00220276          
229.5               0.00144114          0.996186            0.00237326          
230                 0.00149884          0.995973            0.00252831          
230.5               0.00157188          0.995672            0.00275564          
231                 0.00165528          0.995369            0.00297602          
231.5               0.0017272           0.995093            0.00318007          
232                 0.00179334          0.994811            0.0033957           
232.5               0.001923            0.994397            0.00368039          
233                 0.00205756          0.993923            0.00401905          
233.5               0.0021594           0.993533            0.0043073           
234                 0.00231224          0.993005            0.00468275          
234.5               0.00250569          0.992342            0.00515198          
235                 0.0027352           0.991608            0.00565692          
235.5               0.00296456          0.990894            0.00614189          
236                 0.00315214          0.990252            0.00659585          
236.5               0.00340285          0.989423            0.00717395          
237                 0.00365764          0.988621            0.00772125          
237.5               0.00404021          0.987504            0.00845549          
238                 0.00436602          0.986434            0.00919974          
238.5               0.0047049           0.985522            0.00977322          
239                 0.00493712          0.984737            0.0103255           
239.5               0.0054862           0.983355            0.0111593           
240                 0.0060233           0.982007            0.0119694           
240.5               0.00603799          0.981895            0.0120674           
241                 0.00633579          0.981299            0.0123656           
241.5               0.0063299           0.981482            0.0121882           
242                 0.00652237          0.981101            0.0123763           
242.5               0.00649664          0.981551            0.0119523           
243                 0.00657177          0.981356            0.012072            
243.5               0.00628428          0.982452            0.0112637           
244                 0.00601248          0.98345             0.0105375           
244.5               0.00608858          0.983496            0.0104158           
245                 0.00563887          0.984853            0.00950821          
245.5               0.005635            0.985148            0.00921707          
246                 0.00541888          0.985937            0.00864442          
246.5               0.00523579          0.986685            0.00807883          
247                 0.00490483          0.987795            0.00730008          
247.5               0.00477252          0.988299            0.00692803          
248                 0.00454954          0.989078            0.00637246          
